draw_date,num1,num2,num3,num4,num5,special
2017-03-09,3,6,9,14,38,
2017-03-10,8,12,15,39,41,
2017-03-11,12,16,24,27,36,
2017-03-12,11,20,25,32,42,
2017-03-13,13,15,25,29,32,
2017-03-14,8,9,17,24,33,
2017-03-15,7,12,13,30,34,
2017-03-16,2,5,8,21,42,
2017-03-17,25,32,36,40,41,
2017-03-18,9,16,19,26,41,
2017-03-19,4,20,35,41,42,
2017-03-20,2,5,24,25,26,
2017-03-21,3,5,25,34,38,
2017-03-22,4,9,23,25,40,
2017-03-23,2,9,10,11,39,
2017-03-24,1,21,27,35,41,
2017-03-25,6,9,22,25,38,
2017-03-26,2,5,9,12,39,
2017-03-27,4,12,19,24,36,
2017-03-28,8,22,25,30,40,
2017-03-29,6,21,26,30,36,
2017-03-30,4,5,6,17,33,
2017-03-31,10,16,21,37,41,
2017-04-01,10,17,21,32,36,
2017-04-02,8,10,11,20,38,
2017-04-03,17,18,31,37,42,
2017-04-04,5,16,21,30,31,
2017-04-05,10,11,16,27,40,
2017-04-06,7,19,27,39,41,
2017-04-07,3,7,12,25,29,
2017-04-08,20,26,29,34,39,
2017-04-09,5,13,25,34,41,
2017-04-10,1,7,22,23,30,
2017-04-11,7,20,21,28,39,
2017-04-12,1,20,21,23,39,
2017-04-13,2,5,22,29,30,
2017-04-14,12,15,28,31,41,
2017-04-15,5,14,23,25,35,
2017-04-16,7,12,26,28,30,
2017-04-17,4,14,36,37,41,
2017-04-18,20,23,27,36,40,
2017-04-19,21,26,33,36,37,
2017-04-20,2,10,14,23,25,
2017-04-21,5,28,30,33,42,
2017-04-22,3,15,19,30,38,
2017-04-23,6,21,22,25,35,
2017-04-24,12,17,18,20,31,
2017-04-25,1,6,28,29,40,
2017-04-26,11,15,30,35,40,
2017-04-27,5,23,29,31,42,
2017-04-28,2,17,22,32,38,
2017-04-29,6,12,23,30,35,
2017-04-30,12,18,19,26,31,
2017-05-01,17,20,23,38,42,
2017-05-02,2,10,29,36,39,
2017-05-03,5,14,28,33,39,
2017-05-04,5,12,20,37,39,
2017-05-05,5,10,20,31,39,
2017-05-06,1,3,29,30,37,
2017-05-07,5,10,11,13,17,
2017-05-08,6,14,23,28,38,
2017-05-09,12,13,20,22,24,
2017-05-10,8,10,14,15,30,
2017-05-11,1,5,16,22,23,
2017-05-12,24,26,27,38,39,
2017-05-13,9,14,28,38,42,
2017-05-14,4,12,16,29,34,
2017-05-15,13,16,20,33,39,
2017-05-16,7,17,18,38,41,
2017-05-17,2,11,20,28,32,
2017-05-18,10,18,22,25,28,
2017-05-19,3,7,15,22,23,
2017-05-20,12,21,27,31,38,
2017-05-21,5,6,7,24,41,
2017-05-22,7,14,25,28,41,
2017-05-23,3,4,9,37,40,
2017-05-24,1,7,8,16,18,
2017-05-25,1,2,11,16,24,
2017-05-26,8,9,20,39,41,
2017-05-27,1,7,11,24,37,
2017-05-28,1,3,20,24,42,
2017-05-29,1,3,19,25,29,
2017-05-30,3,4,21,25,42,
2017-05-31,1,2,12,17,34,
2017-06-01,3,13,20,25,31,
2017-06-02,7,9,26,32,42,
2017-06-03,10,14,16,23,40,
2017-06-04,7,14,21,24,38,
2017-06-05,2,6,24,28,36,
2017-06-06,3,14,17,28,29,
2017-06-07,2,12,19,21,37,
2017-06-08,4,5,8,17,34,
2017-06-09,5,10,31,34,35,
2017-06-10,20,25,28,33,37,
2017-06-11,1,4,21,33,37,
2017-06-12,3,12,15,23,35,
2017-06-13,8,15,19,29,36,
2017-06-14,17,18,29,36,37,
2017-06-15,4,9,32,37,41,
2017-06-16,7,19,20,34,36,
2017-06-17,8,9,25,35,40,
2017-06-18,1,8,15,18,23,
2017-06-19,7,13,25,29,33,
2017-06-20,2,5,14,23,38,
2017-06-21,7,9,13,22,23,
2017-06-22,13,21,33,34,39,
2017-06-23,7,8,26,36,38,
2017-06-24,9,13,20,24,26,
2017-06-25,9,11,16,37,42,
2017-06-26,5,8,14,30,36,
2017-06-27,1,9,28,39,41,
2017-06-28,5,22,23,24,30,
2017-06-29,2,16,18,22,31,
2017-06-30,2,6,18,24,25,
2017-07-01,16,23,26,35,36,
2017-07-02,31,32,33,34,35,
2017-07-03,17,23,27,31,39,
2017-07-04,2,4,16,24,26,
2017-07-05,3,19,28,35,42,
2017-07-06,13,18,19,33,38,
2017-07-07,1,13,20,30,34,
2017-07-08,1,10,19,21,35,
2017-07-09,15,17,27,39,41,
2017-07-10,3,9,22,24,37,
2017-07-11,15,18,22,26,33,
2017-07-12,11,12,18,19,36,
2017-07-13,2,12,15,17,31,
2017-07-14,1,9,32,36,38,
2017-07-15,5,6,21,27,42,
2017-07-16,9,12,16,18,34,
2017-07-17,4,11,12,13,14,
2017-07-18,1,14,24,25,29,
2017-07-19,8,24,34,37,38,
2017-07-20,10,22,23,32,39,
2017-07-21,6,10,14,15,24,
2017-07-22,10,26,29,38,40,
2017-07-23,6,8,26,31,37,
2017-07-24,8,16,19,27,39,
2017-07-25,6,19,26,27,34,
2017-07-26,2,3,15,27,37,
2017-07-27,2,10,18,35,42,
2017-07-28,7,16,21,34,37,
2017-07-29,2,3,11,14,23,
2017-07-30,18,31,33,37,40,
2017-07-31,6,11,12,18,22,
2017-08-01,7,11,13,18,27,
2017-08-02,5,8,11,22,32,
2017-08-03,7,20,27,28,35,
2017-08-04,3,4,6,24,26,
2017-08-05,1,7,8,18,38,
2017-08-06,7,9,13,21,28,
2017-08-07,4,10,15,20,35,
2017-08-08,6,24,25,26,30,
2017-08-09,4,7,8,9,29,
2017-08-10,6,14,20,21,27,
2017-08-11,2,5,27,36,39,
2017-08-12,5,18,35,36,39,
2017-08-13,5,7,11,14,15,
2017-08-14,11,12,15,33,37,
2017-08-15,11,14,26,28,38,
2017-08-16,19,25,29,34,38,
2017-08-17,9,18,30,31,37,
2017-08-18,14,16,23,28,32,
2017-08-19,13,18,35,38,40,
2017-08-20,11,26,31,38,40,
2017-08-21,6,10,17,24,38,
2017-08-22,17,23,26,37,39,
2017-08-23,5,6,11,19,24,
2017-08-24,12,14,25,26,39,
2017-08-25,10,22,34,36,39,
2017-08-26,8,21,31,34,39,
2017-08-27,2,10,13,19,24,
2017-08-28,8,24,29,30,35,
2017-08-29,12,25,26,29,41,
2017-08-30,3,18,23,30,38,
2017-08-31,8,19,26,33,36,
2017-09-01,1,18,27,35,38,
2017-09-02,10,11,39,41,42,
2017-09-03,3,7,14,24,40,
2017-09-04,6,22,36,38,39,
2017-09-05,3,14,23,25,38,
2017-09-06,4,12,19,25,31,
2017-09-07,3,9,18,33,38,
2017-09-08,2,5,8,27,35,
2017-09-09,3,6,7,34,41,
2017-09-10,12,13,25,32,38,
2017-09-11,4,15,22,31,42,
2017-09-12,4,9,22,26,40,
2017-09-13,12,13,16,17,32,
2017-09-14,7,20,23,32,42,
2017-09-15,3,9,17,21,42,
2017-09-16,6,24,28,29,38,
2017-09-17,12,13,34,40,42,
2017-09-18,4,13,15,24,35,
2017-09-19,27,34,36,38,41,
2017-09-20,7,9,16,19,30,
2017-09-21,8,9,19,20,29,
2017-09-22,5,8,34,35,41,
2017-09-23,3,12,14,16,41,
2017-09-24,10,28,32,37,41,
2017-09-25,6,14,18,22,42,
2017-09-26,14,16,29,34,38,
2017-09-27,5,12,18,21,34,
2017-09-28,14,27,33,36,41,
2017-09-29,16,27,34,36,38,
2017-09-30,10,24,27,32,40,
2017-10-01,5,12,16,34,36,
2017-10-02,3,21,26,31,40,
2017-10-03,15,16,17,18,23,
2017-10-04,6,21,23,24,27,
2017-10-05,2,21,27,28,34,
2017-10-06,12,34,35,36,39,
2017-10-07,1,23,32,40,41,
2017-10-08,6,7,21,36,38,
2017-10-09,29,30,33,37,39,
2017-10-10,3,15,17,21,29,
2017-10-11,3,11,19,25,33,
2017-10-12,1,4,10,15,16,
2017-10-13,6,17,21,30,32,
2017-10-14,5,8,19,24,29,
2017-10-15,1,5,12,24,29,
2017-10-16,10,15,21,35,37,
2017-10-17,6,14,22,24,42,
2017-10-18,2,20,22,23,30,
2017-10-19,16,25,32,34,39,
2017-10-20,5,13,21,29,30,
2017-10-21,20,24,28,29,40,
2017-10-22,3,5,11,12,37,
2017-10-23,4,6,8,25,37,
2017-10-24,15,24,25,36,40,
2017-10-25,21,23,25,30,33,
2017-10-26,14,24,33,38,40,
2017-10-27,19,20,30,35,40,
2017-10-28,1,5,13,15,28,
2017-10-29,1,14,15,17,31,
2017-10-30,4,7,23,24,26,
2017-10-31,15,16,18,30,33,
2017-11-01,1,16,21,24,34,
2017-11-02,7,10,14,20,29,
2017-11-03,3,7,8,23,33,
2017-11-04,5,10,15,41,42,
2017-11-05,1,10,19,25,26,
2017-11-06,1,9,23,37,42,
2017-11-07,2,10,20,21,31,
2017-11-08,19,25,30,39,41,
2017-11-09,8,29,34,38,39,
2017-11-10,7,18,20,28,33,
2017-11-11,2,3,30,31,42,
2017-11-12,1,5,24,32,40,
2017-11-13,13,15,19,24,28,
